"type","value","source"
"hash_sha256","0C552941479737A055ECF8E5E7A33B83EACE569F7C9BE282C1D7B0A932632F82","public"
"ip","23.106.70.154","public"
"domain","ac-connection-status105.azurewebsites.net","public"
"domain","acc-cloud-connection.azurewebsites.net","public"
"domain","active-az-check-status45.azurewebsites.net","public"
"domain","active-az-check-status675.azurewebsites.net","public"
"domain","active-az-status45.azurewebsites.net","public"
"domain","active-az-status795.azurewebsites.net","public"
"domain","active-internal-log65.azurewebsites.net","public"
"domain","active-internal-logs.azurewebsites.net","public"
"domain","active-intranet-logs.azurewebsites.net","public"
"domain","automationagencybusiness.azurewebsites.net","public"
"domain","bookingconfirm.icu","public"
"domain","connect-acc-492.azurewebsites.net","public"
"domain","connect-acl-492.azurewebsites.net","public"
"domain","developercodepro.azurewebsites.net","public"
"domain","developercodevista.azurewebsites.net","public"
"domain","dreamtiniventures.azurewebsites.net","public"
"domain","fdtsprobusinesssolutions.azurewebsites.net","public"
"domain","hserbhh43.westus3.cloudapp.azure.com","public"
"domain","intra-az-check-status45.azurewebsites.net","public"
"domain","intra-az-check-status675.azurewebsites.net","public"
"domain","intra-az-status45.azurewebsites.net","public"
"domain","intra-az-status795.azurewebsites.net","public"
"domain","mso-internal-log65.azurewebsites.net","public"
"domain","mso-internal-logs.azurewebsites.net","public"
"domain","mso-intranet-logs.azurewebsites.net","public"
"domain","nx425-win4945.azurewebsites.net","public"
"domain","nx4542-win4957.azurewebsites.net","public"
"domain","nxlog-crash-1567.azurewebsites.net","public"
"domain","nxlog-win-1567.azurewebsites.net","public"
"domain","nxversion-win-1567.azurewebsites.net","public"
"domain","nxversion-win32-1127.azurewebsites.net","public"
"domain","queuetestapplication.azurewebsites.net","public"
"domain","skychain13424.azurewebsites.net","public"
"domain","skyticketgrant.azurewebsites.net","public"
"domain","snare-core.azurewebsites.net","public"
"domain","swifttiniventures.azurewebsites.net","public"
"domain","vcphone-ms.azurewebsites.net","public"
"domain","vm-ticket-svc.azurewebsites.net","public"
"domain","vm-tools-svc.azurewebsites.net","public"
"domain","vmware-health-ms.azurewebsites.net","public"
"domain","www.decathlonm.com","public"
"domain","www.p9-car.com","public"
"url","https://api.npoint.io/a1dbf5a9d5d0636edf76","public"
"url","https://github.com/adammajoros250-creator/bot111","public"
"url","https://jsonkeeper.com/b/4NAKK","public"
"url","https://www.jsonkeeper.com/b/VBFK7","public"
